GEOID,year,latino
04013109705,2010,1454.0
04013109801,2010,3398.0
04013109802,2010,4276.0
04013109900,2010,5343.0
04013110001,2010,3040.0
04013110002,2010,3880.0
04013110100,2010,6669.0
04013110400,2010,2413.0
04013110501,2010,343.0
04013110502,2010,337.0
04013110600,2010,1841.0
04013110701,2010,1497.0
04013110702,2010,2296.0
04013110801,2010,1160.0
04013110802,2010,769.0
04013110901,2010,946.0
04013110902,2010,2356.0
04013111000,2010,1326.0
04013111100,2010,808.0
04013111201,2010,1875.0
04013111202,2010,1170.0
04013111203,2010,153.0
04013111204,2010,351.0
04013111300,2010,2299.0
04013111401,2010,3625.0
04013111402,2010,2270.0
04013111501,2010,1687.0
04013111502,2010,4677.0
04013111601,2010,1962.0
04013111602,2010,4244.0
04013111700,2010,2371.0
04013111800,2010,548.0
04013111900,2010,359.0
04013112100,2010,3494.0
04013112201,2010,3561.0
04013112202,2010,4242.0
04013112301,2010,5468.0
04013112302,2010,5977.0
04013112401,2010,4988.0
04013112402,2010,3868.0
04013112502,2010,4467.0
04013112503,2010,6557.0
04013112504,2010,2582.0
04013112505,2010,6130.0
04013112507,2010,1593.0
04013112508,2010,1945.0
04013112509,2010,3929.0
04013112510,2010,3308.0
04013112511,2010,3384.0
04013112512,2010,985.0
04013112513,2010,6375.0
04013112514,2010,1326.0
04013112601,2010,2489.0
04013112602,2010,6420.0
04013112700,2010,5739.0
04013112900,2010,2895.0
04013113000,2010,729.0
04013113100,2010,551.0
04013113201,2010,1852.0
04013113202,2010,1487.0
04013113203,2010,1796.0
04013113300,2010,3758.0
04013113400,2010,147.0
04013113501,2010,3555.0
04013113502,2010,1977.0
04013113601,2010,1874.0
04013113602,2010,2474.0
04013113700,2010,3413.0
04013113801,2010,980.0
04013113802,2010,0.0
04013113900,2010,773.0
04013114000,2010,1076.0
04013114100,2010,697.0
04013114200,2010,836.0
04013114301,2010,720.0
04013114302,2010,1002.0
04013114401,2010,1419.0
04013114402,2010,1698.0
04013114500,2010,3598.0
04013114600,2010,1998.0
04013114703,2010,3691.0
04013114800,2010,2159.0
04013114900,2010,2082.0
04013115200,2010,658.0
04013115300,2010,1844.0
04013115400,2010,1903.0
04013115500,2010,3588.0
04013115600,2010,1734.0
04013115700,2010,4904.0
04013115801,2010,3338.0
04013115802,2010,2440.0
04013115900,2010,2962.0
04013116000,2010,2714.0
04013116100,2010,2800.0
04013116202,2010,3471.0
04013116203,2010,1164.0
04013116204,2010,2028.0
04013116205,2010,1804.0
04013116300,2010,4369.0
04013116400,2010,3829.0
04013116500,2010,3890.0
04013116602,2010,5449.0
04013116603,2010,1610.0
04013116604,2010,1059.0
04013116605,2010,2114.0
04013116606,2010,2647.0
04013116607,2010,1533.0
04013116608,2010,1607.0
04013116609,2010,761.0
04013116610,2010,1726.0
04013116611,2010,955.0
04013116612,2010,1974.0
04013116613,2010,2226.0
04013116702,2010,5324.0
04013116703,2010,2140.0
04013116704,2010,2209.0
04013116707,2010,234.0
04013116708,2010,728.0
04013116709,2010,328.0
04013116710,2010,395.0
04013116711,2010,0.0
04013116712,2010,818.0
04013116713,2010,981.0
04013116714,2010,481.0
04013116715,2010,413.0
04013116717,2010,556.0
04013116718,2010,404.0
04013116719,2010,857.0
04013116720,2010,464.0
04013116721,2010,283.0
04013116725,2010,327.0
04013116727,2010,379.0
04013116728,2010,158.0
04013116729,2010,518.0
04013116730,2010,125.0
04013116731,2010,251.0
04013116732,2010,1928.0
04013116733,2010,0.0
04013116800,2010,1876.0
04013116900,2010,2007.0
04013117000,2010,3772.0
04013117100,2010,427.0
