GEOID,year,white
04013117300,2010,0.0
04013216806,2010,2739.0
04013216807,2010,4873.0
04013216809,2010,4847.0
04013216810,2010,895.0
04013216813,2010,3854.0
04013216816,2010,4948.0
04013216818,2010,6292.0
04013216819,2010,5639.0
04013216820,2010,4109.0
04013216821,2010,5010.0
04013216822,2010,3693.0
04013216826,2010,4208.0
04013216829,2010,3990.0
04013216830,2010,2709.0
04013216831,2010,2628.0
04013216832,2010,2071.0
04013216833,2010,4056.0
04013216834,2010,2221.0
04013216835,2010,2017.0
04013216836,2010,3269.0
04013216837,2010,4363.0
04013216838,2010,3922.0
04013216839,2010,3731.0
04013216840,2010,4127.0
04013216841,2010,2476.0
04013216842,2010,3405.0
04013216843,2010,3179.0
04013216844,2010,2581.0
04013216845,2010,1792.0
04013216846,2010,6179.0
04013216847,2010,4044.0
04013216848,2010,5395.0
04013216849,2010,5673.0
04013216850,2010,3537.0
04013216851,2010,3094.0
04013216852,2010,2194.0
04013216853,2010,4046.0
04013216901,2010,2562.0
04013216902,2010,3555.0
04013217001,2010,3644.0
04013217002,2010,4949.0
04013217101,2010,2242.0
04013217102,2010,2317.0
04013217201,2010,1030.0
04013217203,2010,2568.0
04013217204,2010,1847.0
04013217300,2010,2190.0
04013217400,2010,2846.0
04013217501,2010,1620.0
04013217502,2010,2291.0
04013217600,2010,2653.0
04013217700,2010,4077.0
04013217800,2010,4882.0
04013217900,2010,3309.0
04013218000,2010,3780.0
04013218100,2010,1111.0
04013218200,2010,2930.0
04013218300,2010,3360.0
04013318400,2010,2444.0
04013318501,2010,2377.0
04013318700,2010,3357.0
04013318800,2010,3458.0
04013318900,2010,3750.0
04013319000,2010,3979.0
04013319101,2010,1168.0
04013319103,2010,2319.0
04013319104,2010,3117.0
04013319201,2010,2640.0
04013319202,2010,1663.0
04013319300,2010,1056.0
04013319401,2010,3692.0
04013319402,2010,2981.0
04013319403,2010,3501.0
04013319404,2010,2449.0
04013319500,2010,4485.0
04013319600,2010,3689.0
04013319703,2010,2540.0
04013319704,2010,400.0
04013319705,2010,2269.0
04013319706,2010,2395.0
04013319800,2010,4346.0
04013319902,2010,1645.0
04013319903,2010,4270.0
04013319904,2010,3747.0
04013319905,2010,3800.0
04013319906,2010,2516.0
04013319907,2010,1731.0
04013319908,2010,1480.0
04013319909,2010,1809.0
04013319910,2010,2709.0
