id,year,bus
46,1993,66419318
46,1994,61478828
46,1995,57027220
46,1996,46303648
46,1997,54598890
46,1998,55234319
46,1999,42185131
46,2000,43886980
46,2001,41237988
46,2002,39756468
46,2003,37812276
46,2004,34513905
46,2005,35396882
46,2006,37083344
46,2007,35204863
46,2008,37792808
46,2009,38603132
46,2010,36555845
46,2011,35615420
46,2012,32750907
46,2013,30898942
46,2014,25116299
46,2015,23899523
46,2016,27149357
46,2017,24593612
47,1991,10914403
47,1992,8484212
47,1993,8876360
47,1994,9173568
47,1995,8917249
47,1996,8966353
47,1997,8789679
47,1998,8187249
47,1999,9410001
47,2000,10727825
47,2001,11930842
47,2002,10869771
47,2003,8414183
47,2004,8984134
47,2005,9865876
47,2006,10917739
47,2007,11035550
47,2008,12023706
47,2009,12774202
47,2010,11439394
47,2011,10660270
47,2012,10673830
47,2013,9464558
47,2014,9248599
47,2015,9178939
47,2016,8848567
47,2017,8202341
48,1991,0
48,1992,0
48,1993,0
48,1994,0
48,1995,0
48,1996,0
48,1997,0
48,1998,0
48,1999,0
48,2000,0
48,2001,0
48,2002,0
48,2003,0
48,2004,0
48,2005,0
48,2006,0
48,2007,0
48,2008,0
48,2009,0
48,2010,0
48,2011,0
48,2012,0
48,2013,0
48,2014,0
48,2015,0
48,2016,0
48,2017,278657
49,1991,979706
49,1992,693428
49,1993,1822812
49,1994,32150467
49,1995,34071937
49,1996,29811399
49,1997,30838018
49,1998,31768156
49,1999,32732855
49,2000,31838093
49,2001,31157406
49,2002,36534204
49,2003,40635507
49,2004,40813740
49,2005,45219796
49,2006,48778636
49,2007,50025282
49,2008,52588089
49,2009,50570664
49,2010,37181460
49,2011,36694705
49,2012,37491585
49,2013,40845877
49,2014,40502789
49,2015,38328619
49,2016,33785445
49,2017,38998417
50,1991,0
50,1992,0
50,1993,0
50,1994,0
50,1995,0
50,1996,0
50,1997,0
50,1998,0
50,1999,0
50,2000,0
50,2001,0
50,2002,0
50,2003,0
50,2004,0
50,2005,0
50,2006,0
50,2007,0
50,2008,0
50,2009,0
50,2010,0
50,2011,0
50,2012,0
50,2013,0
50,2014,0
50,2015,0
50,2016,0
50,2017,0
51,1991,787337
51,1992,881010
51,1993,1302857
51,1994,1480296
51,1995,1936952
51,1996,2492573
51,1997,2950432
51,1998,2570120
51,1999,3069452
51,2000,3057853
51,2001,3099061
51,2002,0
51,2003,3894354
51,2004,4122881
51,2005,6366799
51,2006,5927521
51,2007,6500204
51,2008,9857961
51,2009,9863450
51,2010,7487894
51,2011,7813519
51,2012,9023817
51,2013,9619743
51,2014,17832432
51,2015,17168400
51,2016,16207646
51,2017,14787086
52,1991,100267
52,1992,98156
52,1993,86280
52,1994,147546
52,1995,206511
52,1996,213898
52,1997,124503
52,1998,138377
52,1999,134931
52,2000,176018
52,2001,211471
52,2002,87584
52,2003,106416
52,2004,130515
52,2005,175638
52,2006,197702
52,2007,199066
52,2008,401451
52,2009,704433
52,2010,768484
52,2011,1019850
52,2012,1090216
52,2013,1017820
52,2014,1006361
52,2015,984256
52,2016,955445
52,2017,934073
53,1991,188247819
53,1992,188603944
53,1993,180980182
53,1994,172745614
53,1995,169919036
53,1996,167703720
53,1997,170637290
53,1998,170308433
53,1999,171253580
53,2000,174855498
53,2001,176900537
53,2002,177388288
53,2003,165279524
53,2004,162687473
53,2005,163149456
53,2006,159694775
53,2007,157600225
53,2008,162307578
53,2009,167332788
53,2010,158576933
53,2011,155684269
53,2012,163169789
53,2013,162428498
53,2014,163693988
53,2015,155559283
53,2016,166967835
53,2017,161097082
54,1991,2061378
54,1992,2152683
54,1993,2285985
54,1994,2339620
54,1995,2342094
54,1996,2593877
54,1997,2522103
54,1998,660980
54,1999,0
54,2000,0
54,2001,0
54,2002,0
54,2003,0
54,2004,0
54,2005,0
54,2006,0
54,2007,0
54,2008,0
54,2009,0
54,2010,0
54,2011,0
54,2012,0
54,2013,0
54,2014,0
54,2015,0
54,2016,0
54,2017,0
55,1991,65486049
55,1992,69682121
55,1993,61195378
55,1994,62754904
55,1995,61943391
55,1996,64153446
55,1997,63054878
55,1998,63465316
55,1999,65897176
55,2000,67632612
55,2001,70808702
55,2002,69085074
55,2003,62292979
55,2004,64663431
55,2005,64600740
55,2006,66962680
55,2007,66970254
55,2008,65194287
55,2009,60468401
55,2010,61390737
55,2011,57333196
55,2012,53642880
55,2013,55234888
55,2014,56058548
55,2015,55293009
55,2016,53844356
55,2017,52687373
56,1991,0
56,1992,0
56,1993,0
56,1994,0
56,1995,0
56,1996,0
56,1997,0
56,1998,0
56,1999,0
56,2000,0
56,2001,0
56,2002,0
56,2003,1159328
56,2004,1155248
56,2005,1063658
56,2006,1130585
56,2007,1344124
56,2008,1426469
56,2009,1564277
56,2010,1397492
56,2011,1472355
56,2012,1874085
56,2013,884698
56,2014,942400
56,2015,791962
56,2016,728346
56,2017,618172
57,1991,19114358
57,1992,19540743
57,1993,19190847
57,1994,19564573
57,1995,19490111
57,1996,18899515
57,1997,18455028
57,1998,18987729
57,1999,17828964
57,2000,17729034
57,2001,17923945
57,2002,17102875
57,2003,16547962
57,2004,15145667
57,2005,14548496
57,2006,14691116
57,2007,14892745
57,2008,15206660
57,2009,15549074
57,2010,14421547
57,2011,13691515
57,2012,13118261
57,2013,12742830
57,2014,13248248
57,2015,13467166
57,2016,13170760
57,2017,12180964
58,1991,9296242
58,1992,9446200
58,1993,9312630
58,1994,9171409
58,1995,9231597
58,1996,10004269
58,1997,10449920
58,1998,10520175
58,1999,11200791
58,2000,11469598
58,2001,11545327
58,2002,10832210
58,2003,10314429
58,2004,9561788
58,2005,9162719
58,2006,9154572
58,2007,8996741
58,2008,9313717
58,2009,9107557
58,2010,8261810
58,2011,8358466
58,2012,8518468
58,2013,8498607
58,2014,8795438
58,2015,8494446
58,2016,8107913
58,2017,7552536
59,1991,78257986
59,1992,81400120
59,1993,80886962
59,1994,79417076
59,1995,80747395
59,1996,87243205
59,1997,92524469
59,1998,89946655
59,1999,95440054
59,2000,98848711
59,2001,97003884
59,2002,93768146
59,2003,94688924
59,2004,98250237
59,2005,94608408
59,2006,102413938
59,2007,110466310
59,2008,118278626
59,2009,111067940
59,2010,109008892
59,2011,111995623
59,2012,114562685
59,2013,117717559
59,2014,120108964
59,2015,121072263
59,2016,120902543
59,2017,121352294
60,1991,0
60,1992,0
60,1993,0
60,1994,0
60,1995,0
60,1996,0
60,1997,0
60,1998,0
60,1999,0
60,2000,0
60,2001,0
60,2002,0
60,2003,0
60,2004,0
60,2005,8815793
60,2006,9819143
60,2007,11394629
60,2008,13028486
60,2009,13784753
60,2010,13092785
60,2011,14534397
60,2012,16012412
60,2013,16604132
60,2014,17669833
60,2015,18312624
60,2016,18470406
60,2017,18374834
61,1991,0
61,1992,0
61,1993,0
61,1994,0
61,1995,0
61,1996,0
61,1997,0
61,1998,0
61,1999,0
61,2000,0
61,2001,0
61,2002,0
61,2003,0
61,2004,0
61,2005,0
61,2006,0
61,2007,0
61,2008,0
61,2009,0
61,2010,0
61,2011,0
61,2012,0
61,2013,0
61,2014,0
61,2015,0
61,2016,0
61,2017,0
62,1991,2865184
62,1992,4776037
62,1993,4939517
62,1994,5143782
62,1995,5911473
62,1996,6518838
62,1997,7502750
62,1998,7689878
62,1999,8050638
62,2000,7333570
62,2001,8293703
62,2002,8732097
62,2003,8266233
62,2004,9130837
62,2005,8219785
62,2006,8965558
62,2007,9922699
62,2008,10849358
