id,year,upt
24,2012,38634128
24,2013,38792428
24,2014,38785678
24,2015,37809246
24,2016,33373580
24,2017,29764400
25,1991,2743374
25,1992,2755985
25,1993,2782119
25,1994,2782119
25,1995,2782119
25,1996,2872180
25,1997,4149102
25,1998,4673047
25,1999,6183737
25,2000,6913561
25,2001,6297153
25,2002,6795039
25,2003,7649864
25,2004,8201134
25,2005,9160907
25,2006,9970563
25,2007,11046504
25,2008,10798100
25,2009,10936346
25,2010,11235733
25,2011,12056979
25,2012,12515228
25,2013,12972081
25,2014,12359076
25,2015,11644819
25,2016,10581570
25,2017,9775152
26,1991,1870671
26,1992,2266473
26,1993,2697456
26,1994,2912895
26,1995,2735415
26,1996,2305492
26,1997,2315394
26,1998,2348592
26,1999,2171142
26,2000,2232497
26,2001,2543514
26,2002,2530321
26,2003,2725142
26,2004,2861217
26,2005,3064074
26,2006,2908420
26,2007,3709923
26,2008,4258742
26,2009,4711486
26,2010,4050353
26,2011,4416727
26,2012,4941886
26,2013,5122671
26,2014,5402035
26,2015,5363719
26,2016,5341822
26,2017,5207014
27,1991,0
27,1992,0
27,1993,0
27,1994,0
27,1995,0
27,1996,0
27,1997,0
27,1998,0
27,1999,0
27,2000,0
27,2001,0
27,2002,0
27,2003,0
27,2004,0
27,2005,214586
27,2006,512146
27,2007,480139
27,2008,603622
27,2009,621268
27,2010,609039
27,2011,590013
27,2012,547820
27,2013,554081
27,2014,597795
27,2015,1166615
27,2016,3264667
27,2017,2971066
28,1991,343748129
28,1992,323489023
28,1993,330004495
28,1994,329496350
28,1995,322248376
28,1996,317832105
28,1997,305073215
28,1998,272833175
28,1999,307886994
28,2000,317254707
28,2001,318050568
28,2002,313687051
28,2003,320584200
28,2004,332690372
28,2005,334546120
28,2006,323050549
28,2007,321839783
28,2008,340942176
28,2009,348314656
28,2010,346884292
28,2011,358843189
28,2012,363497594
28,2013,358439353
28,2014,347177503
28,2015,344297259
28,2016,354615326
28,2017,324750197
29,1991,11372911
29,1992,11150707
29,1993,11232302
29,1994,11133844
29,1995,10880486
29,1996,10657689
29,1997,10659561
29,1998,10751747
29,1999,10918932
29,2000,10581143
29,2001,10038360
29,2002,9288445
29,2003,8863911
29,2004,9150048
29,2005,9362839
29,2006,9376942
29,2007,9406473
29,2008,10337870
29,2009,10022056
29,2010,10108981
29,2011,10506369
29,2012,10612897
29,2013,10542383
29,2014,10007256
29,2015,10169487
29,2016,10653390
29,2017,10839059
30,1991,0
30,1992,0
30,1993,0
30,1994,0
30,1995,0
30,1996,0
30,1997,7413311
30,1998,7753591
30,1999,8043164
30,2000,8312455
30,2001,8542879
30,2002,8298186
30,2003,8062106
30,2004,8441267
30,2005,8764146
30,2006,9261888
30,2007,9125806
30,2008,9483238
30,2009,10047001
30,2010,10162521
30,2011,10888537
30,2012,11594262
30,2013,11195263
30,2014,10952117
30,2015,10257127
30,2016,9382971
30,2017,8465452
31,1991,182757
31,1992,171194
31,1993,189645
31,1994,47370
31,1995,88756
31,1996,148631
31,1997,177432
31,1998,193390
31,1999,202857
31,2000,203430
31,2001,207330
31,2002,201359
31,2003,217076
31,2004,235925
31,2005,249913
31,2006,274639
31,2007,532261
31,2008,607779
31,2009,564436
31,2010,896508
31,2011,913653
31,2012,952151
31,2013,1020930
31,2014,1650715
31,2015,1849907
31,2016,1900453
31,2017,1973446
32,1991,50037038
32,1992,50562129
32,1993,49175282
32,1994,45814898
32,1995,44692511
32,1996,48480039
32,1997,50146995
32,1998,52541599
32,1999,58219789
32,2000,58342845
32,2001,61433652
32,2002,59935750
32,2003,76509095
32,2004,77036051
32,2005,72596156
32,2006,77010077
32,2007,73949618
32,2008,67390127
32,2009,65009123
32,2010,59985395
32,2011,63787374
32,2012,70458962
32,2013,71281128
32,2014,70863331
32,2015,69844822
32,2016,66799954
32,2017,65583009
33,1991,5699764
33,1992,4438910
33,1993,4810206
33,1994,5811902
33,1995,5845584
33,1996,6550239
33,1997,6402191
33,1998,5124982
33,1999,5650667
33,2000,6033882
33,2001,9140415
33,2002,7493537
33,2003,7577444
33,2004,7523259
33,2005,8138752
33,2006,7599837
33,2007,7574738
33,2008,7857457
33,2009,7891965
33,2010,6936669
33,2011,7033616
33,2012,7840277
33,2013,7929521
33,2014,8016335
33,2015,7851247
33,2016,7311655
33,2017,6914410
34,1991,69302
34,1992,68551
34,1993,110547
34,1994,91410
34,1995,105607
34,1996,121680
34,1997,576500
34,1998,703648
34,1999,595416
34,2000,574507
34,2001,528961
34,2002,570262
34,2003,535636
34,2004,551545
34,2005,587110
34,2006,647866
34,2007,760997
34,2008,901881
34,2009,832160
34,2010,757449
34,2011,1145598
34,2012,1167666
34,2013,1544829
34,2014,1571891
34,2015,1634003
34,2016,1480204
34,2017,1420589
35,1991,85315804
35,1992,85020877
35,1993,88040253
35,1994,83840787
35,1995,80457179
35,1996,80848290
35,1997,81198449
35,1998,84141345
35,1999,86562368
35,2000,87379125
35,2001,88246097
35,2002,82087460
35,2003,77405265
35,2004,95881563
35,2005,94555071
35,2006,102477574
35,2007,100868417
35,2008,100277342
35,2009,88510712
35,2010,81151205
35,2011,81085192
35,2012,80891292
35,2013,84235798
35,2014,85369587
35,2015,86089171
35,2016,89970895
35,2017,88129126
36,1991,0
36,1992,0
36,1993,0
36,1994,0
36,1995,0
36,1996,0
36,1997,0
36,1998,0
36,1999,0
36,2000,0
36,2001,0
36,2002,0
36,2003,0
36,2004,0
36,2005,0
36,2006,0
36,2007,118189
36,2008,165386
36,2009,222947
36,2010,270966
36,2011,370028
36,2012,489187
36,2013,584076
36,2014,562134
36,2015,576196
36,2016,602154
36,2017,582619
37,1991,368092612
37,1992,353947615
37,1993,353277686
37,1994,340221141
37,1995,345012331
37,1996,317593492
37,1997,323208380
37,1998,339213001
37,1999,356071168
37,2000,348043569
37,2001,378936348
37,2002,391303553
37,2003,391992038
37,2004,397782682
37,2005,414076003
37,2006,408988285
37,2007,411598592
37,2008,425236560
37,2009,435858891
37,2010,418125650
37,2011,419689420
37,2012,424184885
37,2013,413640080
37,2014,411323792
37,2015,406647664
37,2016,379141810
37,2017,352545938
38,1991,14725810
38,1992,15426275
38,1993,16973182
38,1994,17607883
38,1995,18155900
38,1996,18346521
38,1997,17640986
38,1998,18403944
38,1999,19939102
38,2000,20733532
38,2001,22447610
38,2002,23000110
38,2003,23389167
38,2004,23557018
38,2005,25044002
38,2006,27376369
38,2007,28302019
38,2008,29766072
38,2009,29739337
38,2010,28063392
38,2011,26940789
38,2012,27474578
38,2013,26603229
38,2014,26391571
38,2015,25972313
38,2016,24512705
38,2017,22984194
39,1991,0
39,1992,0
39,1993,2651735
39,1994,2877022
39,1995,4395575
39,1996,4517415
39,1997,0
39,1998,4744526
39,1999,4782138
39,2000,5594826
39,2001,6112753
39,2002,6831313
39,2003,7595138
39,2004,7990825
39,2005,8474143
39,2006,9529056
39,2007,9717392
39,2008,9810228
39,2009,9576635
39,2010,9629993
39,2011,10283313
39,2012,10895833
39,2013,10650401
39,2014,10655021
39,2015,9764166
39,2016,8984286
39,2017,8631906
40,1991,0
40,1992,0
40,1993,0
40,1994,0
40,1995,0
40,1996,0
40,1997,0
40,1998,0
40,1999,0
40,2000,0
40,2001,0
40,2002,0
40,2003,0
40,2004,0
40,2005,0
40,2006,0
40,2007,0
40,2008,0
40,2009,0
40,2010,0
40,2011,0
40,2012,0
40,2013,0
40,2014,0
40,2015,5102855
40,2016,5904708
40,2017,5025611
41,1991,741958
41,1992,741958
41,1993,2655186
41,1994,3060207
41,1995,3168393
41,1996,3502955
41,1997,3414496
41,1998,4617985
41,1999,4485333
41,2000,4881322
41,2001,5631302
41,2002,6079858
41,2003,8380906
41,2004,10386862
41,2005,10466352
41,2006,11434047
41,2007,11670580
41,2008,12562257
41,2009,15040649
41,2010,15582435
41,2011,16850075
41,2012,18021918
41,2013,17603441
41,2014,18193059
41,2015,18684419
41,2016,18027898
41,2017,18206508
42,1991,143187822
42,1992,141050969
42,1993,138060000
42,1994,142731549
42,1995,143674639
