taname,msaid,year,upt,bus_upt,rail_upt,vrm,bus_vrm,rail_vrm,minimum_headways,avg_speed,bus_speed,rail_speed,operating_expenses_total,fare_revenue,avg_fare,bus_avg_fare,rail_avg_fare,farebox_recovery,bus_recovery,rail_recovery,miles_between_failures,state_gas_price_per_gal,trips_per_capita,upt_per_vrm,bus_vrm_per_ride,rail_vrm_per_ride,avg_trip_length_mi
Honolulu DTS,46520,2013,70243916.0,69242214.0,,23125075.0,17198231.0,,6.6712229961753575,13.409494181023236,13.12236028399098,,223410428.0,56948183.0,0.875578144589775,0.8584515417141341,,0.2549038713627101,0.3009500802729784,,13277.432706222866,4.7467910571428575,73.69219487477537,3.0375648943841265,4.026124198471343,,5.286722482841077
Honolulu DTS,46520,2014,67449151.0,66285449.0,,23892486.0,17619990.0,,6.627852226615629,13.400866899320548,13.065674703074588,,224580537.0,56843744.0,0.893330275424816,0.8791479701676307,,0.25311073149673696,0.2986998750452747,,14271.35281945163,4.506800990476191,70.76023466046725,2.823027750230763,3.7619458921372826,,5.547825472258354
Honolulu DTS,46520,2015,70501835.0,69327213.0,,24594911.0,17761917.0,,5.710503269745752,13.580140511756982,13.053571927266526,,232252737.0,56905018.0,0.8555709093245588,0.8419304586786144,,0.2450133364843834,0.29378827367501886,,14839.155405405405,3.701308,73.96277513698493,2.866521249050261,3.903137988990715,,5.037573575212617
Honolulu DTS,46520,2016,69553686.0,68314175.0,,25839135.0,17889049.0,,5.6175233116079815,13.568116693910579,12.908330825852381,,238362315.0,55168657.0,0.8328399712705378,0.8179422177022558,,0.23144873802723387,0.28237099467187887,,11154.283743475018,3.18963125,72.96808143456772,2.6917962230546806,3.818770634481464,,5.232114988125863
Honolulu DTS,46520,2017,66559963.0,65276018.0,,25850169.0,17800292.0,,5.907149830751567,13.556129087067537,12.92303515007899,,247770495.0,53505514.0,0.8199467340449093,0.8038238603954059,,0.2159478835444067,0.26474950133779285,,9950.662157592154,,69.82739635776909,2.574836667412116,3.667131865027832,,5.001917458998587
Honolulu DTS,46520,2018,65520762.0,64119604.0,,26400757.0,17933771.0,,6.0017187698432055,13.445352828535924,12.799505399213492,,259999630.0,56373277.0,0.8603879942666113,0.8444745385514234,,0.21682060470624515,0.26689094907590455,,10501.673905429072,,68.73718090614106,2.4817758824112506,3.575355344952269,,4.98508381205945
MAX Transit,13820,2006,3678559.0,3541683.0,,3903905.0,2746996.0,,37.08298831942671,12.839343151635543,11.845554784153583,,20379870.0,2453174.0,0.8336056319879604,0.8119399025830375,,0.12037240669346762,0.13449772167223803,,3592.287170773152,3.1754375,5.556341166110563,0.9422767715915218,1.2892931041763438,,5.227396651786746
MAX Transit,13820,2007,3253691.0,3124269.0,,3938258.0,2867445.0,,37.161604455781294,13.002228524452692,12.394831029385067,,23018545.0,2382523.0,0.886025387782675,0.8697152517916991,,0.10350450039305265,0.11621829024700811,,3344.757097791798,3.3283712,4.914592166417188,0.8261751769437147,1.0895654493808948,,5.24487574265657
MAX Transit,13820,2008,3223156.0,3083764.0,,3866710.0,2791997.0,,36.67624029560067,13.030149856276811,12.467778884239763,,23394078.0,2708444.0,0.9831604427461779,0.9483575721099279,,0.11577477000803366,0.12893444119263256,,3858.4592592592594,3.8230022999999993,4.868470063303663,0.8335654859040372,1.1045011867849428,,5.303379358616214
MAX Transit,13820,2009,2942097.0,2805110.0,,3835001.0,2694228.0,,36.65691669049068,12.743407323719014,12.053578858362302,,23925764.0,2391959.0,0.9512235762451067,0.9181487107457461,,0.09997419518139525,0.11185741814837115,,3713.195515695067,2.6720460000000004,4.443939780710433,0.7671698129935298,1.0411553884823408,,5.309893249610737
